Employee ID,First name,Last name,Gender,Date of birth,Department,Country
306084,Dang Thanh,Dat,Male,07/04/2004,54249,Sweden
677104,Nguyen Ngoc Ai,Dan,Female,05/07/2003,77578,Belgium
261444,Phan Anh,Khoa,Male,01/03/1992,83197,Austria
125627,Nguyen Ngoc Minh,Tu,Male,18/01/1983,87286,Slovenia
420499,Chau Minh,Tuan,Male,19/02/1986,62217,France
610755,Huynh Trong,Nghia,Male,21/02/1964,77578,Romania
252600,Tran Nhu,Phong,Male,21/06/1966,77578,Bulgaria
904889,Huynh Phu,Hung,Male,06/04/1973,66551,Hungary
487899,Vu Anh,Huy,Male,07/06/1964,55906,Netherlands
726261,Truong Thien,Huy,Male,04/05/1979,77578,CzechRepublic
272192,Huynh Buu Quoc,Lam,Male,10/04/1999,77578,Luxembourg
945501,Vo Quoc,Thinh,Male,04/10/1981,63966,Portugal
126301,Vo Van Ga,Sin,Male,09/07/1988,62217,CzechRepublic
283516,Dang Huu,Chi,Male,05/11/1990,55906,Portugal
788185,Nguyen Ngoc Bao,Han,Female,19/06/1966,83197,Romania
190096,Dang Han,Phong,Male,12/01/1975,52260,Greece
696438,Truong Minh,Quy,Male,25/12/1963,62217,Croatia
807136,Le Van,Thien,Male,28/01/1985,54249,Portugal
983998,Tran Nhat,Hoang,Male,27/05/1985,37456,Croatia
139426,Huynh Phuong,Tai,Male,05/09/1969,37456,Italy
549606,Nguyen Truong,An,Male,17/12/1966,83197,Romania
707817,Dang Lam,Giang,Male,28/02/1967,77578,RepublicofCyprus
163494,Tran Nguyen Gia,Huy,Male,22/03/1980,83197,Romania
634575,Nguyen Hong,Quan,Male,01/03/1965,55906,Portugal
798319,Nguyen The Thanh,Thang,Male,04/03/1981,66551,Lithuania
691482,Tu Gia,Thanh,Male,12/04/1984,54249,Latvia
382934,Vo Minh,Trieu,Male,18/11/1983,55906,France
877168,Tran Nguyen Thanh,Tuan,Male,24/02/1968,63966,Estonia
238236,Nguyen Trung,Hieu,Male,22/01/1980,37456,Ireland
781605,Lam Nhut,Tien,Male,13/07/1983,83197,Luxembourg
928447,Tran Ngoc,Hung,Male,03/01/1984,62217,Greece
138338,Pham Van,Ngoc,Male,02/08/1971,77578,Bulgaria
474734,Pham Le,Vinh,Male,30/01/1979,63966,Spain
425096,Phan Thi Thuy,An,Female,06/05/1986,37456,Luxembourg
796335,Ho Quang Minh,Hai,Male,10/03/2004,55906,Poland
869981,Nguyen Do Duc,Thinh,Male,23/07/1993,62217,Lithuania
205934,Ngo Gia,Huy,Male,07/05/1988,83197,Croatia
289068,Nguyen Duc,Tri,Male,29/10/2001,87286,Belgium
943472,Nguyen Cong,Chanh,Male,22/08/2003,87286,Netherlands
678262,Nguyen Phuoc,Hau,Male,06/02/1978,55906,Greece
942374,Huynh Le Thi Tuyet,Nhi,Female,06/10/1995,52260,Slovakia
854112,Pham Dinh,Khiem,Male,20/01/1966,83197,Denmark
761124,Phan Thi Nhu,Huynh,Female,19/04/1987,83197,Denmark
954930,Bui Ngoc,Khai,Male,14/08/1983,66551,Belgium
790316,Nguyen Tan,Phuong,Male,07/05/1994,52260,Poland
716089,Nguyen Anh,Quoc,Male,19/07/2000,87286,Slovakia
608999,Tran Thanh,Hao,Female,29/10/1978,62217,CzechRepublic
598042,Trinh Tan,Khai,Male,22/02/1996,87286,Slovakia
445166,Nguyen Ngoc Hoai,Sang,Male,01/10/1984,83197,CzechRepublic
246643,Hoang Ky,Khanh,Male,29/10/1981,55906,Lithuania
339298,Lon,Sokvantip,Male,04/09/1998,63966,Malta
341834,Vu Minh,Nhat,Male,29/08/2003,66551,Hungary
143343,Hoang Ngoc,Anh,Male,10/08/1970,87286,CzechRepublic
945268,Trieu Gia,Bao,Male,19/01/1992,87286,Slovenia
794692,Cao Minh,Canh,Male,01/12/1999,63966,Slovakia
599824,Nguyen Duc Trung,Dan,Male,30/05/1987,66551,Romania
766272,Lieu Thanh,Dat,Male,29/11/1990,52260,Italy
377076,Nguyen Danh,Dat,Male,29/08/1993,66551,Hungary
548878,Ly Truong,Giang,Male,14/10/1991,66551,Hungary
611866,Dinh Tran Nguyen,Khoi,Male,07/05/1994,55906,Greece
253053,Le Cong,Nghia,Male,20/04/1982,54249,France
240767,Do Nguyen Trung,Nguyen,Male,13/02/1995,77578,Greece
929251,Le Ngoc,Toan,Male,21/02/2001,52260,Latvia
381800,Trinh Vi,Hao,Male,23/03/1985,52260,France
934390,Nguyen Quoc,Cong,Male,02/11/1969,37456,Romania
534224,Nguyen Thanh,Dat,Male,04/04/1991,77578,Italy
325674,Le Hau,Vinh,Male,11/05/1970,87286,CzechRepublic
382527,Bui Thanh,Hai,Male,19/12/1995,62217,Luxembourg
736731,Ngo Minh,Hieu,Male,09/05/1962,55906,Portugal
351396,Truong Lam Minh,Thien,Male,31/07/1991,62217,Romania
779526,Le Hoai,Giang,Male,03/07/1995,77578,Croatia
158915,Nguyen Mai Xuan,Bach,Male,20/02/1991,55906,Romania
895525,Tran Tri,Cuong,Male,03/10/1999,54249,Malta
711240,Nguyen Dinh Minh,Duc,Male,29/07/1990,87286,Ireland
366250,Nguyen Ngoc,Hieu,Male,06/12/1962,62217,Portugal
312958,Tran Thien,Trieu,Male,11/04/1981,62217,Italy
334228,Huynh Bao,An,Male,01/05/1992,62217,Hungary
432504,Vu Tuan,Anh,Male,24/02/1975,54249,Denmark
931423,Phuong Hoai,Bao,Male,06/04/1986,62217,Slovenia
576652,Lai Thi Tuyet,Giang,Male,23/12/1988,87286,Luxembourg
969383,Pham Thanh,Khai,Male,13/05/1987,54249,Lithuania
402831,Quang Tri,Luong,Male,28/05/1965,55906,Estonia
696415,Do Minh,Nguyen,Male,09/09/1995,52260,Sweden
700770,Vo Tan,Tai,Female,18/03/2001,63966,Germany
712374,Phan Thanh,Trong,Male,06/03/1989,55906,Bulgaria
514492,Truong Cong An,Binh,Male,22/11/1990,37456,Poland
550584,Tran Cong,Danh,Male,22/03/1962,83197,RepublicofCyprus
846787,Le Trong,Hoang,Male,20/07/1981,54249,Bulgaria
860681,Nguyen Huynh Khanh,Lam,Male,13/08/1969,52260,Latvia
131360,Tran Thi Ngoc,Lan,Male,19/08/2004,55906,Finland
491300,Vo Dinh Hoang,Linh,Male,04/06/1979,63966,Bulgaria
570181,Cat Tan,Loc,Male,12/12/1987,66551,RepublicofCyprus
274865,Nguyen Huy,Long,Male,21/06/1999,37456,Sweden
415449,Tran Thi Xuan,Mai,Male,01/06/1972,66551,RepublicofCyprus
148938,Bui Huu,Nghia,Female,24/10/1974,66551,Finland
692983,Nguyen Huu,Nhon,Male,23/09/1991,87286,Greece
201724,Trinh Trong Minh,Quan,Male,01/12/1968,62217,Germany
269281,Nguyen Hoang Ky,Thao,Male,25/02/1973,55906,Slovakia
246201,Doan Van,Trong,Female,28/02/1963,63966,Slovenia
133169,Nguyen Trong,Tuan,Male,04/08/1976,66551,Bulgaria
711653,Pham Quoc,Tuan,Male,21/09/1985,55906,Hungary
623402,Le Huu,An,Male,18/07/1976,87286,Italy
188503,Tran Duc,Anh,Female,05/09/1967,63966,France
939755,Hoang Viet,Anh,Male,08/10/1966,54249,Ireland
124163,Ho Khanh,Bang,Male,12/07/1982,87286,Hungary
166668,Dong Anh,Cuong,Male,26/02/1970,77578,France
672481,Thai Vinh,Hien,Male,25/10/1964,66551,Malta
722724,Le Trung,Hieu,Male,28/05/1992,66551,Sweden
621903,Quach Kim,Hung,Male,17/04/1998,55906,Belgium
747455,Pham Vo Quoc,Khanh,Male,08/01/1979,87286,Lithuania
277975,Tang Hoang,Lam,Male,05/06/1979,83197,Romania
684623,Doan Dai,Nghia,Male,07/02/1996,54249,Austria
607178,Thach Anh,Thoai,Male,14/08/1964,63966,Greece
936166,Do Xuan,Thong,Male,07/12/1981,37456,Greece
263424,Nguyen Nhat,Vinh,Male,05/12/1978,37456,Finland
843049,Phan Thai,Vuong,Male,01/10/1977,54249,France
348171,Phan Nhat,Nam,Male,14/11/1992,87286,Belgium
724012,Dang Ngoc Huy,Hoang,Male,26/01/1962,54249,Slovenia
327477,Le Huy,Hoang,Male,12/12/1994,87286,Malta
921059,Tran Dang,Khoa,Male,05/05/1973,52260,Poland
472941,Huynh Chi,Thien,Male,27/10/2003,83197,Malta
866917,Kieu Vo Quang,Thien,Male,01/02/1967,66551,Italy
393290,Tran Lam,Truong,Male,17/10/1968,37456,RepublicofCyprus
604271,Duong Thien,Hai,Male,06/04/1988,87286,Estonia
800059,Le Hoang,Lam,Male,08/07/1966,52260,Netherlands
946043,Vo Ngoc,Phu,Male,19/09/1989,77578,Croatia
861841,Pham Hong,Phuc,Male,19/04/2003,63966,Denmark
145525,Hoang Anh,Quang,Male,08/02/1984,87286,Netherlands
732318,Huynh Gia,Thuan,Male,12/01/1981,63966,France
250703,Tran Tuan,Anh,Male,15/10/1992,54249,Netherlands
338683,Vuong Thien,Anh,Male,02/01/2000,62217,France
375100,Le Anh,Duong,Male,13/10/1985,87286,Spain
564012,Le Nguyen Hoang,Nam,Male,17/04/1965,87286,Luxembourg
231205,Hoang Nguyen Thao,Nhi,Male,21/03/1966,54249,Croatia
735831,Nguyen Hieu,Trung,Male,10/04/1968,54249,Germany
633342,Huynh,Van,Male,30/04/1989,37456,RepublicofCyprus
753447,Do Cao,Viet,Male,05/02/1973,77578,Netherlands
793618,Le Dang Vinh,An,Male,22/10/1971,62217,Austria
695414,Van Duc,Duy,Male,07/02/1992,55906,France
217348,Huynh Quoc,Huy,Male,10/10/1962,52260,Ireland
402106,Pham Duy,Khanh,Male,14/09/1969,54249,Slovakia
838614,Pham Le Dang,Khoa,Male,10/10/1970,62217,Poland
510181,Nguyen Van,Kien,Male,06/11/1971,77578,Hungary
426971,Nguyen Hoang,Nam,Male,18/10/1970,66551,Lithuania
257161,Nguyen Binh,Nguyen,Female,27/10/1980,52260,Portugal
370100,Le,Nhan,Male,09/06/2004,66551,Portugal
719829,Tran Diep Ai,Nhu,Male,12/08/2003,83197,Croatia
162523,Pham Tan,Phat,Female,16/11/1985,52260,Romania
908804,Ho Truong Tan,Phi,Male,01/10/1962,77578,Italy
472348,Le Nguyen Thien,Phu,Male,10/02/2001,62217,Denmark
586026,Vo Duy,Tan,Male,09/11/1972,54249,Austria
846764,Phan Van,Thai,Male,03/10/1993,62217,Slovenia
760747,Nguyen Phat,Thinh,Male,05/04/1999,55906,Slovenia
206985,Tu Tuan,Thong,Male,09/07/1963,54249,Portugal
